dmf_no,dmf_submit_date,dmf_holder,dmf_subject,year,month
31790,13-Apr-18,ALIVIRA ANIMAL HEALTH LTD (A GROUP CO OF SEQUENT SCIENTIFIC LTD),TRICLABENDAZOLE,2018,4
31791,5-Jun-17,DELMAR CHEMICALS INC,ESLICARBAZEPINE ACETATE,2017,6
31792,23-Jun-17,DR REDDYS LABORATORIES LTD,IBRUTINIB,2017,6
31793,23-May-17,ZAKLADY FARMACEUTYCZNE POLPHARMA SA,BAZEDOXIFENE ACETATE,2017,5
31795,22-Jun-17,HOVIONE FARMACIENCIA SA,SALMETEROL XINAFOATE INHALATION GRADE,2017,6
31796,11-Aug-17,GENENTECH INC,CED88004A ,2017,8
31797,11-Aug-17,GENENTECH INC,CED88004S,2017,8
31799,19-May-17,SHANDONG AWA BIOPHARM CO LTD,SODIUM HYALURONATE,2017,5
31800,18-May-17,SYNTHETICS CHINA CO LTD,SAXAGLIPTIN,2017,5
31801,6-Jun-17,ZCL CHEMICALS LTD,LURASIDONE HYDROCHLORIDE,2017,6
31803,2-Mar-20,CEDARBURG PHARMACEUTICALS INC,METHYLNALTREXONE BROMIDE,2020,3
31804,2-Jun-17,CHANGZHOU PHARMACEUTICAL FACTORY,LENALIDOMIDE,2017,6
31807,24-Jul-17,TOKUYAMA CORP,ESCITALOPRAM OXALATE,2017,7
31808,27-Apr-17,JINZHOU JIUTAI PHARMACEUTICAL CO LTD,PANTOPRAZOLE SODIUM,2017,4
31809,27-Sep-17,LEK PHARMACEUTICALS DD,APREMILAST,2017,9
31811,10-Aug-17,EMCURE PHARMACEUTICALS LTD,DOFETILIDE USP,2017,8
31815,31-Jul-17,PROCOS SPA,PIRFENIDONE,2017,7
31818,6-Oct-17,DAIICHI SANKYO ALTKIRCH SARL,MUCOPOLYSACCHARIDE POLYSULFATE DRUG SUBSTANCE,2017,10
31819,24-Jul-17,HETERO DRUGS LTD,GABAPENTIN (PROCESS-II),2017,7
31820,22-Aug-17,AVANTI POLAR LIPIDS INC,TRICAPRYLIN (730412),2017,8
31823,1-Aug-17,FDC LTD,TELMISARTAN USP ,2017,8
31824,8-Jun-17,ZAKLADY FARMACEUTYCZNE POLPHARMA SA,(R)-BACLOFEN,2017,6
31827,14-Nov-17,CATALENT PHARMA SOLUTIONS LLC,SOFTGELS [OET: 10275427-9],2017,11
31829,31-Aug-17,GRANULES INDIA LTD,OMEPRAZOLE MAGNESIUM USP,2017,8
31831,14-Jun-17,SHENZHEN ORIENTAL PHARMACEUTICAL CO LTD,DOXYLAMINE SUCCINATE,2017,6
31836,22-Jul-17,INKE SA,GLYCOPYRROLATE ,2017,7
31837,24-Sep-17,HAINAN SHUANGCHENG PHARMACEUTICALS CO LTD,EPTIFIBATIDE,2017,9
31838,3-Jul-17,HEC PHARM CO LTD,FEBUXOSTAT NON-STERILE BULK DRUG SUBSTANCE,2017,7
31839,21-Jul-17,NOVITIUM PHARMA LLC,THIOTHIXENE USP,2017,7
31841,6-Jul-17,AUROBINDO PHARMA LTD,DAPAGLIFLOZIN,2017,7
31842,25-Sep-17,BIOPHORE INDIA PHARMACEUTICALS PVT LTD,PROCHLORPERAZINE MALEATE,2017,9
31843,31-Jul-17,APOTEX PHARMACHEM INC,TASIMELTEON,2017,7
31844,15-Jun-17,ENANTIOTECH CORP LTD,AMT01 (INTERMEDIATE FOR APREMILAST),2017,6
31848,30-Jun-17,ALEMBIC PHARMACEUTICALS LTD,AFATINIB DIMALEATE,2017,6
31849,30-Jun-17,ALEMBIC PHARMACEUTICALS LTD,IVACAFTOR,2017,6
31851,12-Sep-17,MACCO ORGANIQUES SRO,POTASSIUM CHLORIDE,2017,9
31854,7-Jul-17,LAURUS LABS LTD,LAMIVUDINE USP ,2017,7
31855,5-Jul-17,LAURUS LABS LTD,DOLUTEGRAVIR SODIUM (PROCESS-2),2017,7
31858,24-Jul-17,FARMAK AS,DOFETILIDE,2017,7
31859,24-Oct-17,SUN PHARMACEUTICAL INDUSTRIES LTD,METAXALONE USP ,2017,10
31860,18-Aug-17,CRYSTAL PHARMA SAU,TESTOSTERONE CYPIONATE ,2017,8
31864,20-Jun-17,JIANGSU YUEXIN PHARMACEUTICAL CO LTD,7 AMINO DESACETOXY CEPHALOSPORANIC ACID (7 ADCA),2017,6
31867,31-Aug-17,LUPIN LTD,DAPAGLIFLOZIN PREMIX,2017,8
31868,20-Jul-17,XELLIA PHARMACEUTICALS APS,"VANCOMYCIN WET BASE, NON-STERILE",2017,7
31869,18-Aug-17,CHROMO LABORATORIES INDIA PRIVATE LTD,ZAFIRLUKAST,2017,8
31871,18-Sep-17,PARTICLE DYNAMICS INTERNATIONAL LLC,DESTAB™ LACTITOL,2017,9
31873,20-Jul-17,ZHEJIANG XIANJU PHARMACEUTICAL CO LTD,MIFEPRISTONE,2017,7
31874,12-Sep-17,MACCO ORGANIQUES SRO,MAGNESIUM SULFATE DRIED,2017,9
31875,29-Jun-17,HIKAL LTD,BUTORPHANOL TARTRATE,2017,6
31876,1-Aug-17,HUBEI YITAI PHARMACEUTICAL CO LTD,CLINDAMYCIN HYDROCHLORIDE (NON-STERILE),2017,8
31877,20-Nov-19,SYMED LABS LTD,DEFERASIROX,2019,11
31880,2-Aug-17,MACLEODS PHARMACEUTICALS LTD,DAPAGLIFLOZIN PREMIX,2017,8
31882,12-Jul-17,ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD,APREMILAST,2017,7
31884,14-Jul-17,ALDRICH CHEMICAL CO,CHOLIC ACID-24-13C,2017,7
31885,14-Jul-17,ALDRICH CHEMICAL CO,"CHOLIC ACID-2,2,4,4-D4",2017,7
31888,9-Feb-18,ZHEJIANG TIANYU PHARMACEUTICAL CO LTD,OLMESARTAN MEDOXOMIL,2018,2
31889,28-Jul-17,HYBIO PHARMACEUTICAL CO LTD,DESMOPRESSIN ACETATE ,2017,7
31892,18-Jul-17,SHILPA MEDICARE LTD,GEMCITABINE HYDROCHLORIDE USP (PROCESS -2),2017,7
31893,21-Jul-17,GLAND PHARMA LTD,CASPOFUNGIN ACETATE,2017,7
31894,29-Dec-17,GLENMARK LIFE SCIENCES LTD,ZOLPIDEM TARTRATE USP,2017,12
31895,28-Nov-17,HONOUR LAB LTD,AZILSARTAN KAMEDOXOMIL,2017,11
31896,24-Aug-17,DASAMI LAB PRIVATE LTD,ESLICARBAZEPINE ACETATE,2017,8
31897,2-Oct-17,SUTRO BIOPHARMA INC,PEPTIDE DEFORMYLASE REAGENT,2017,10
31898,16-Aug-17,SIGMAPHARM LABORATORIES LLC,VORTIOXETINE HYDROBROMIDE AMORPHOUS (24.12%),2017,8
31899,10-May-17,RAMDEV CHEMICAL PVT LTD,BENZOCAINE USP,2017,5
31900,24-Jul-17,ZHEJIANG CHARIOTEER PHARMACEUTICAL CO LTD,RIVAROXABAN,2017,7
31901,10-May-17,RAMDEV CHEMICAL PVT LTD,PIROXICAM USP,2017,5
31904,11-Dec-17,LIQUIDIA TECHNOLOGIES INC,MOLD TEMPLATE FORMULATION 1 FOR PRINT® PROCESS,2017,12
31906,7-Jul-17,QINGDAO KANGYUAN PHARMACEUTICAL CO LTD,MENOTROPINS,2017,7
31909,7-Jul-17,QINGDAO KANGYUAN PHARMACEUTICAL CO LTD,CHORIONIC GONADOTROPIN,2017,7
31910,7-Nov-17,CARGILL SLU,C* PHARMDEX 02010 (GLUCOSE MONOHYDRATE),2017,11
31916,2-Oct-17,SUTRO BIOPHARMA INC,XTRACTCF™ REAGENT,2017,10
31917,20-Jul-17,WISDOM PHARMACEUTICAL CO LTD,IBRUTINIB,2017,7
31918,2-Aug-17,DIPHARMA FRANCIS SRL,EFINACONAZOLE,2017,8
31919,27-Oct-17,HOKKAIDO FINE CHEMICALS CO LTD,HFC INTERMEDIATE EPA-E,2017,10
31920,28-Oct-17,NOVITIUM PHARMA LLC,OXANDROLONE USP,2017,10
31922,3-Nov-17,GRANULES INDIA LTD,"PENICILLAMINE, USP",2017,11
31924,15-Jul-17,SHOUGUANG FUKANG PHARMACEUTICAL CO LTD,ESOMEPRAZOLE MAGNESIUM DIHYDRATE,2017,7
31925,23-Oct-17,SUNNY PHARMTECH INC,ETHACRYNIC ACID USP,2017,10
31926,10-Oct-17,MERCK KGAA,SODIUM ACETATE ANHYDROUS,2017,10
31927,16-Jul-18,SUNNY PHARMTECH INC,ISOPROTERENOL HYDROCHLORIDE USP,2018,7
31928,2-Oct-17,SUTRO BIOPHARMA INC,T7 RNA POLYMERASE REAGENT,2017,10
31929,2-Dec-17,ANJAN DRUG PRIVATE LTD,PREGABALIN USP,2017,12
31930,29-Jul-17,AUROBINDO PHARMA LTD,ISOPROTERENOL HYDROCHLORIDE,2017,7
31931,2-Oct-17,SUTRO BIOPHARMA INC,TRNA AND AMINOACYL TRNA SYNTHETASE REAGENTS,2017,10
31932,2-Aug-17,VIJAYASRI ORGANICS LTD,PENICILLAMINE USP,2017,8
31933,15-Nov-17,PROCOS SPA,EFINACONAZOLE,2017,11
31934,7-Sep-17,FDC LTD,CINNARIZINE,2017,9
31938,8-Sep-17,GLAXOSMITHKLINE LLC,FLUTICASONE FUROATE,2017,9
31939,30-May-18,ENALTEC LABS PRIVATE LTD,DOFETILIDE USP,2018,5
31940,1-Aug-17,UNION QUIMICO FARMACEUTICA SA (UQUIFA),RANOLAZINE,2017,8
31941,31-Aug-17,SCINOPHARM TAIWAN LTD,GEFITINIB,2017,8
31942,3-Aug-17,RL FINE CHEM PVT LTD,CLOMIPRAMINE HYDROCHLORIDE,2017,8
31945,24-Aug-17,MSN LIFE SCIENCES PRIVATE LTD,MEBENDAZOLE USP,2017,8
31946,14-Aug-17,FINETECH PHARMACEUTICAL LTD,NABILONE ,2017,8
31948,30-Aug-17,MSN LIFE SCIENCES PRIVATE LTD,TASIMELTEON,2017,8
31949,23-Aug-17,BRIGHTGENE BIO-MEDICAL TECHNOLOGY CO LTD,ENTECAVIR MONOHYDRATE,2017,8
31950,2-May-18,BIOCON LTD,EVEROLIMUS (2% BHT),2018,5
31951,16-Aug-17,RAKS PHARMA PVT LTD,DAPAGLIFLOZIN,2017,8
31952,23-Aug-17,RAKS PHARMA PVT LTD,"RALOXIFENE HYDROCHLORIDE, USP",2017,8
31953,29-Jul-17,DIVIS LABORATORIES LTD,VIGABATRIN USP,2017,7
31954,27-Sep-17,MACLEODS PHARMACEUTICALS LTD,LURASIDONE HYDROCHLORIDE,2017,9
31956,8-Sep-17,LAURUS LABS LTD,HYDROXYCHLOROQUINE SULFATE USP,2017,9
31957,15-Sep-17,LAURUS LABS LTD,MACITENTAN,2017,9
31958,17-Oct-17,LAURUS LABS LTD,TENOFOVIR DISOPROXIL FUMARATE (PROCESS-3),2017,10
31959,30-Aug-17,MAITHRI LABORATORIES PRIVATE LTD,FLUCYTOSINE USP,2017,8
31960,13-Sep-17,MSN LABORATORIES PRIVATE LTD,LENALIDOMIDE [ROUTE CODE LW],2017,9
31961,25-Aug-17,CENTRE FOR PROBE DEVELOPMENT AND COMMERCIALIZATION,[I-124]IB-PF-06687234 INJECTION,2017,8
31962,5-Jul-17,BIA SEPARATIONS DOO,CIM CONVECTIVE INTERACTION MEDIA® OH HYDROPHOBIC INTERACTION CHROMATOGRAPHY RESIN,2017,7
31963,5-Jul-17,BIA SEPARATIONS DOO,CIM CONVECTIVE INTERACTION MEDIA® SO3 STRONG CATION EXCHANGE CHROMATOGRAPHY RESIN,2017,7
31964,27-Jul-17,WUHAN CALMLAND PHARMACEUTICALS CO LTD,PEMETREXED DISODIUM HEMIPENTAHYDRATE,2017,7
31965,9-Aug-17,FLEMING LABORATORIES LTD,CARISOPRODOL USP,2017,8
31967,11-Nov-17,FLEMING LABORATORIES LTD,ETODOLAC USP,2017,11
31968,7-Sep-17,JH NANHANG LIFE SCIENCES CO LTD,CROSPOVIDONE,2017,9
31971,29-Jul-17,HIKAL LTD,CELECOXIB,2017,7
31973,27-Sep-17,GLENMARK LIFE SCIENCES LTD,ZONISAMIDE USP (D270 PROCESS),2017,9
31974,8-Sep-17,VASUDHA PHARMA CHEM LTD,NORTRIPTYLINE HYDROCHLORIDE USP,2017,9
31975,8-Sep-17,VASUDHA PHARMA CHEM LTD,ESOMEPRAZOLE MAGNESIUM TRIHYDRATE USP,2017,9
31976,24-Jul-18,VASUDHA PHARMA CHEM LTD,DONEPEZIL HYDROCHLORIDE MONOHYDRATE USP,2018,7
31977,28-Mar-18,DR REDDYS LABORATORIES LTD,OBETICHOLIC ACID,2018,3
31979,3-Oct-17,EMCURE PHARMACEUTICALS LTD,BEXAROTENE,2017,10
31980,22-Aug-17,LIANYUNGANG RUNZHONG PHARMACEUTICAL CO LTD,"FULVESTRANT, NON-STERILE, BULK DRUG SUBSTANCE",2017,8
31982,3-Aug-17,PROTEO BIOTECH AG,ELAFIN,2017,8
31983,3-Aug-17,IRVINE SCIENTIFIC SALES CO,PRIME-XV® HEMATOPOIETIC CELL BASAL XSFM,2017,8
31986,11-Oct-17,HARMAN FINOCHEM LTD,Succinylcholine Chloride USP,2017,10
31987,29-Sep-17,GLENMARK LIFE SCIENCES LTD,URSODIOL USP,2017,9
31988,6-Oct-17,MICRO LABS LTD,METHENAMINE HIPPURATE USP ,2017,10
31989,30-Nov-17,MICRO LABS LTD,BESIFLOXACIN HYDROCHLORIDE,2017,11
31992,31-Aug-17,CADILA HEALTHCARE LTD,DAPAGLIFLOZIN,2017,8
31994,3-Jan-20,RHODES TECHNOLOGIES,HYDROMORPHONE HYDROCHLORIDE USP ,2020,1
31995,6-Oct-17,PEARL THERAPEUTICS INC,ALBUTEROL SULFATE PRESSURISED INHALATION AEROSOL AND MATCHING PLACEBO,2017,10
31998,19-Jul-17,ZHEJIANG MEDICINE CO LTD,LEVOFLOXACIN,2017,7
31999,24-Aug-17,ZCL CHEMICALS LTD,CLOZAPINE USP,2017,8
32002,18-Aug-17,HISUN PHARMACEUTICAL NANTONG CO LTD,LURASIDONE HYDROCHLORIDE,2017,8
32003,28-Sep-17,CIPLA LTD, APREMILAST,2017,9
32004,28-Aug-17,CARBOGEN AMCIS AG,SGD-5088-TFA                                     ,2017,8
32005,31-Aug-17,ALEMBIC PHARMACEUTICALS LTD,DAPAGLIFLOZIN,2017,8
32006,30-Aug-17,DSM NUTRITIONAL PRODUCTS LTD,ETHYL ESTER INTERMEDIATE,2017,8
32008,31-Dec-17,TEVA PHARMACEUTICAL INDUSTRIES LTD,ZOLEDRONATE DISODIUM,2017,12
32009,11-Aug-17,JIANGSU BAJU PHARMACEUTICAL CO LTD,(S)-2-AMINOBUTYRAMIDE HYDROCHLORIDE,2017,8
32010,28-Aug-17,BRIGHTGENE BIO-MEDICAL TECHNOLOGY CO LTD,ANIDULAFUNGIN (NON-STERILE API),2017,8
32011,23-Oct-17,MSN LIFE SCIENCES PRIVATE LTD,TIOPRONIN,2017,10
32013,12-Oct-17,NOVUGEN PHARMA MALAYSIA SDN BHD,ALBENDAZOLE USP,2017,10
32014,25-May-18,ENALTEC LABS PRIVATE LTD,CHLORPROMAZINE HYDROCHLORIDE USP,2018,5
32015,23-Sep-17,OPTIMUS DRUGS PRIVATE LTD,PIRFENIDONE,2017,9
32016,7-Sep-17,OPTIMUS DRUGS PRIVATE LTD,MEBENDAZOLE FORM-A,2017,9
32017,27-Sep-17,WANBURY LTD,IMIQUIMOD,2017,9
32019,30-Aug-17,AUROBINDO PHARMA LTD,HYDRALAZINE HYDROCHLORIDE USP,2017,8
32020,20-Sep-17,BRIGHTGENE BIO-MEDICAL TECHNOLOGY CO LTD,EVEROLIMUS (2.0%BHT),2017,9
32021,13-Dec-17,HUBEI ENORAY BIOPHARMACEUTICAL CO LTD,ENOXAPARIN SODIUM USP,2017,12
32030,6-Oct-17,ALKEM LABORATORIES LTD,TOLVAPTAN,2017,10
32031,27-Oct-17,JIANGSU HENGRUI MEDICINE CO LTD,CARMUSTINE USP NON STERILE BULK DRUG SUBSTANCE,2017,10
32032,6-Oct-17,LUPIN LTD,DROXIDOPA,2017,10
32033,6-Dec-17,HARMAN FINOCHEM LTD,EFINACONAZOLE,2017,12
32034,22-Oct-18,CATALENT PHARMA SOLUTIONS LLC,SOFTGELS [OET - 10258984],2018,10
32035,27-Sep-19,YABAO PHARMACEUTICAL GROUP CO LTD,TOFACITINIB CITRATE,2019,9
32036,1-Sep-17,BIONPHARMA INC,DAPAGLIFLOZIN,2017,9
32037,21-Sep-17,UNICHEM LABORATORIES LTD,CHLORTHALIDONE USP ,2017,9
32038,24-Aug-17,OMYA INC,CALCIUM CARBONATE USP,2017,8
32040,2-Oct-17,CORAL DRUGS PRIVATE LTD,FLUTICASONE FUROATE ,2017,10
32041,13-Oct-17,GLAND PHARMA LTD,PALIPERIDONE PALMITATE STERILE,2017,10
32047,23-Nov-17,PICHEM FORSCHUNGS UND ENTWICKLUNGS GMBH,NEOBOMB1 (TFA SALT),2017,11
32048,6-Sep-17,CHANGZHOU PHARMACEUTICAL FACTORY,SOFOSBUVIR (AMORPHOUS),2017,9
32049,26-Jan-18,MIDAS PHARMA GMBH,DOXAPRAM HYDROCHLORIDE,2018,1
32052,12-Oct-17,HANGZHOU ANOW MICROFILTRATION CO LTD,STERILIZATION-GRADE POLYETHERSULFONE PLEATED CARTRIDGE FILTER (PORE SIZE: 0.22 UM) ,2017,10
32053,30-Apr-18,POSEIDA THERAPEUTICS, RIMIDUCID DRUG SUBSTANCE AND RIMIDUCID FOR INJECTION,2018,4
32058,13-Nov-17,SCINOPHARM TAIWAN LTD,APREMILAST,2017,11
32059,30-Nov-17,MICRO LABS LTD,CLOBAZAM ,2017,11
32060,13-Sep-17,PROTO CHEMICAL INDUSTRIES,POVIDONE IODINE IP/BP/USP/EP,2017,9
32062,24-Oct-17,SIEGFRIED EVIONNAZ SA,TETRACAINE HYDROCHLORIDE,2017,10
32064,27-Mar-19,FAREVA LA VALLEE,TIMOLOL MALEATE,2019,3
32065,6-Sep-17,IRVINE SCIENTIFIC SALES CO INC,BALANCD® HEK293 FEED (LIQUID),2017,9
32068,10-Nov-17,LAURUS LABS LTD,SOFOSBUVIR,2017,11
32069,28-Sep-17,SOLARA A PHARMA SCIENCES LTD,ETHACRYNIC ACID USP,2017,9
32070,20-Sep-17,CHEMICAL RESOURCES (CHERESO),THIOCOLCHICOSIDE,2017,9
32071,30-Nov-17,JUBILANT GENERICS LTD,APIXABAN,2017,11
32072,20-Sep-17,CHEMICAL RESOURCES (CHERESO),COLCHICINE BP/USP,2017,9
32074,30-Sep-17,ALEMBIC PHARMACEUTICALS LTD,IVABRADINE HYDROCHLORIDE,2017,9
32075,30-Sep-17,ALEMBIC PHARMACEUTICALS LTD,SOFOSBUVIR,2017,9
32076,6-Nov-17,ZHEJIANG AUSUN PHARMACEUTICAL CO LTD,EFINACONAZOLE,2017,11
32077,7-Nov-17,ZHEJIANG AUSUN PHARMACEUTICAL CO LTD,TASIMELTEON,2017,11
32079,28-Aug-17,SUZHOU LIXIN PHARMACEUTICAL CO LTD,IDEBENONE (NON-STERILE),2017,8
32083,26-Mar-18,TARO PHARMACEUTICAL INDUSTRIES LTD,TAVABOROLE,2018,3
32084,9-Nov-17,SUN PHARMACEUTICAL INDUSTRIES LTD,DAPAGLIFLOZIN ,2017,11
32085,3-Oct-17,ZCL CHEMICALS LTD,QUETIAPINE FUMARATE USP,2017,10
32086,5-Oct-17,APOTEX PHARMACHEM INC,TREPROSTINIL DIETHANOLAMINE,2017,10
32088,8-Sep-17,SHANGHAI KYOWA AMINO ACID CO LTD,AMINO ACIDS,2017,9
32089,28-Apr-18,SYMED LABS LTD,SUCROFERRIC OXYHYDROXIDE,2018,4
32090,10-Nov-17,SOLARA A PHARMA SCIENCES LTD,FLUCYTOSINE USP,2017,11
32091,8-Sep-17,YICHANG SANXIA PHARMACEUTICAL CO LTD,NEOMYCIN SULFATE AND NEOMYCIN SULFATE MICRONIZED,2017,9
32093,31-Oct-17,JOHNSON MATTHEY PHARMA SERVICES,ROFLUMILAST,2017,10
32094,20-Sep-17,ORANO MED LLC,212Pb RADIOLABEL DRUG SUBSTANCE,2017,9
32096,15-Nov-17,VIVIN DRUGS AND PHARMACEUTICALS LTD,EMTRICITABINE,2017,11
32097,21-Sep-17,PROTO CHEMICAL INDUSTRIES,IODOFORM USP,2017,9
32098,26-Sep-17,DR REDDYS LABORATORIES LTD,POSACONAZOLE,2017,9
32099,28-Dec-17,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,PROGESTERONE USP,2017,12
32103,25-Oct-17,BEIJING SHUNXIN XIANGYUN PHARMACEUTICAL CO LTD,ALBUMIN TANNATE,2017,10
32107,29-Sep-17,MALLADI DRUGS AND PHARMACEUTICALS LTD,METARAMINOL TARTRATE,2017,9
32108,7-Dec-17,INTEROR SA,BF4-DRUG SUBSTANCE INTERMEDIATE,2017,12
32109,16-Oct-17,PICHEM FORSCHUNGS UND ENTWICKLUNGS GMBH,PSMA-R2 (TFA SALT),2017,10
32110,19-Sep-17,FARMAK AS,ZILEUTON USP,2017,9
32112,29-Sep-17,CENTAUR PHARMACEUTICALS PRIVATE LTD,CHLORZOXAZONE USP,2017,9
32113,13-Dec-17,MYLAN API US LLC,TRIENTINE HYDROCHLORIDE USP,2017,12
32114,3-Oct-17,ALKEM LABORATORIES LTD,APREMILAST,2017,10
32115,2-Oct-17,ZCL CHEMICALS LTD,RIVAROXABAN,2017,10
32116,3-Oct-17,POLYPEPTIDE LABORATORIES SWEDEN AB,VASOPRESSIN,2017,10
32117,21-Nov-17,JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD,DAPAGLIFLOZIN,2017,11
32119,10-Oct-17,QUIMICA SINTETICA SA,APREMILAST,2017,10
32120,16-Nov-17,SM BIOMED SDN BHD,ERYTHROMYCIN STEARATE USP,2017,11
32121,5-Dec-17,SM BIOMED SDN BHD,ERYTHROMYCIN BASE DIHYDRATE USP,2017,12
32122,4-Oct-17,SHILPA MEDICARE LTD,IBRUTINIB,2017,10
32123,13-Oct-17,MAITHRI DRUGS PRIVATE LTD,SELEXIPAG (FORM-P) ,2017,10
32124,20-Sep-17,YANGZHOU PHARMACEUTICAL CO LTD,HYDROCORTISONE,2017,9
32125,1-Dec-17,BIOCON SDN BHD,HUMAN INSULIN-BULK (rDNA ORIGIN) - (ANIMAL ORIGIN FREE),2017,12
32126,6-Oct-17,AUROBINDO PHARMA LTD,APREMILAST,2017,10
32127,1-Mar-18,ADC THERAPEUTICS SA,HLL2-C220 MONOCLONAL ANTIBODY,2018,3
32128,25-Jan-18,ADC THERAPEUTICS SA,SG-3249 DRUG LINKER,2018,1
32129,1-Mar-18,ADC THERAPEUTICS SA,ADCT-602 DRUG SUBSTANCE,2018,3
32131,12-Oct-17,PROTO CHEMICAL INDUSTRIES,POTASSIUM IODIDE IP/BP/USP,2017,10
32132,12-Oct-17,PROTO CHEMICAL INDUSTRIES,SODIUM IODIDE IP/BP/USP,2017,10
32133,13-Oct-17,CHEMO IBERICA SA,RANOLAZINE,2017,10
32135,29-Sep-17,YANGZHOU PHARMACEUTICAL CO LTD,HYDROCORTISONE ACETATE,2017,9
32136,9-Feb-18,NAVINTA LLC,BENZTROPINE MESYLATE USP,2018,2
32138,14-Nov-17,HETERO LABS LTD,VORICONAZOLE (FORM-I)      ,2017,11
32139,6-Nov-17,MICRO LABS LTD,DAPAGLIFLOZIN,2017,11
32140,20-Dec-17,DELMAR CHEMICALS INC,SORAFENIB HEMITOSYLATE,2017,12
32142,30-Oct-17,MSN LIFE SCIENCES PRIVATE LTD,BREXPIPRAZOLE,2017,10
32143,29-Dec-17,MSN LABORATORIES PRIVATE LTD,OSIMERTINIB MESYLATE,2017,12
32144,4-Feb-19,CHENGDU SHENGNUO BIOPHARM CO LTD,TERIPARATIDE,2019,2
32145,13-Oct-17,CF PHARMA LTD,CABERGOLINE,2017,10
32146,12-Oct-17,HEMMO PHARMACEUTICALS PVT LTD,VASOPRESSIN USP,2017,10
32147,31-Oct-17,MSN PHARMACHEM PRIVATE LTD,ARIPIPRAZOLE LAUROXIL,2017,10
32148,6-Dec-17,MSN LIFE SCIENCES PRIVATE LTD,ELUXADOLINE,2017,12
32149,18-Oct-17,MACLEODS PHARMACEUTICALS LTD,APREMILAST,2017,10
32150,8-Nov-17,MYLAN LABORATORIES LTD,APREMILAST (CRYSTALLINE),2017,11
32151,18-Oct-17,EMCURE PHARMACEUTICALS LTD,ISOPROTERENOL HYDROCHLORIDE USP,2017,10
32152,28-Dec-17,GLENMARK LIFE SCIENCES LTD,NINTEDANIB ESYLATE,2017,12
32153,31-Oct-17,GLAND PHARMA LTD,NEOSTIGMINE METHYLSULFATE,2017,10
32154,30-Oct-17,MSN LIFE SCIENCES PRIVATE LTD,TAVABOROLE,2017,10
32156,30-Oct-17,DR REDDYS LABORATORIES LTD,ICATIBANT ACETATE,2017,10
32157,22-Dec-17,FERSINSA GB SA DE CV,AMOXICILLIN TRIHYDRATE - PURIMOX®,2017,12
32158,6-Nov-17,NOF CORP,"a-SUCCINIMIDYLOXYGLUTARYL-w-METHOXY, POLYOXYETHYLENE (MW 5,000)",2017,11
32160,1-Nov-17,RUYUAN HEC PHARM CO LTD,BESIFLOXACIN HYDROCHLORIDE NON-STERILE BULK DRUG SUBSTANCE,2017,11
32161,31-Oct-17,MSN LIFE SCIENCES PRIVATE LTD,EMPAGLIFLOZIN,2017,10
32163,27-Nov-17,CHEMICAL RESOURCES (CHERESO),PYGEUM EXTRACT,2017,11
32164,27-Nov-17,CHEMICAL RESOURCES (CHERESO),SENNOSIDES,2017,11
32169,17-Jan-18,KOLON LIFE SCIENCE INC,PITAVASTATIN CALCIUM,2018,1
32170,9-Nov-17,HARMAN FINOCHEM LTD,DAPAGLIFLOZIN,2017,11
32171,16-Dec-17,MSN LIFE SCIENCES PRIVATE LTD,SACUBITRIL AND VALSARTAN,2017,12
32172,4-Nov-17,SHILPA MEDICARE LTD,TERIFLUNOMIDE,2017,11
32174,11-Oct-17,WEST BENGAL CHEMICAL INDUSTRIES LTD,FERRIC CITRATE,2017,10
32175,16-Dec-17,ZHEJIANG TIANYU PHARMACEUTICAL CO LTD,VALSARTAN,2017,12
32177,31-Oct-17,ALEMBIC PHARMACEUTICALS LTD,APREMILAST,2017,10
32178,31-Oct-17,BIOPHORE INDIA PHARMACEUTICALS PVT LTD,PROCHLORPERAZINE EDISYLATE,2017,10
32179,23-Oct-17,INTAS PHARMACEUTICALS LTD,APREMILAST (AMORPHOUS),2017,10
32180,2-Mar-18,ADC THERAPEUTICS SA,ADCT-602 DRUG PRODUCT,2018,3
32184,8-Dec-17,DASAMI LAB PRIVATE LTD,DROXIDOPA,2017,12
32187,10-Oct-17,LIFE TECHNOLOGIES LTD A PART OF THERMO FISHER SCIENTIFIC,INCHINNAN LIQUID CELL CULTURE MEDIA,2017,10
32190,1-Nov-17,THE SURGEON GENERAL DEPT OF THE ARMY,7G8 PLASMODIUM FALCIPARUM ,2017,11
32194,31-Oct-17,MSN LABORATORIES PRIVATE LTD,PACLITAXEL USP,2017,10
32195,25-Oct-17,TIANJIN TIANYAO PHARMACEUTICALS CO LTD,BUDESONIDE USP BULK API,2017,10
32197,18-Dec-17,FIS FABBRICA ITALIANA SINTETICI SPA,ERLOTINIB HYDROCHLORIDE,2017,12
32198,8-Nov-17,BIAL-PORTELA AND CA SA,OPICAPONE,2017,11
32200,9-Feb-18,JOHNSON AND JOHNSON CONSUMER INC MCNEIL CONSUMER HEALTHCARE DIV,NICOTINE POLACRILEX LOZENGE,2018,2
32201,28-Oct-17,ZCL CHEMICALS LTD,PIRFENIDONE,2017,10
32202,27-Feb-18,DUKE CHEM SA,BRINZOLAMIDE MICRONIZED USP,2018,2
